marca,modelo,sistema,lanzamiento
verykool,verykool s5527 Alpha Pro,Android 6.0,2017
Lenovo,Lenovo Tab 7 Essential,Android 7.0,2017
alcatel,alcatel One Touch Tab 7 HD,Android 4.1,2013
alcatel,alcatel OT Easy db,Feature phone,2000
Allview,Allview E3 Sign,Android 4.4.2,2015
ZTE,ZTE Zinger,Android 4.4.2,2014
Lenovo,Lenovo A390,Android 4.0.4,2013
LG,LG GD880 Mini,Feature phone,2010
Samsung,Samsung C5212,Feature phone,2009
Bird,Bird S768,Feature phone,0
Apple,Apple iPhone XS Max,"iOS 12, up to iOS 14.7",2018
Samsung,Samsung M3510 Beat b,Feature phone,2009
Sony,Sony Xperia XZ2 Premium,"Android 8.0, up to Android 10",2018
Sagem,Sagem MY Z-3,Feature phone,2004
Philips,Philips Xenium 9@9h,Feature phone,2007
Nokia,Nokia 105 Dual SIM (2015),Feature phone,2015
NIU,NIU Niutek 3.5D,Android 4.2,2014
NIU,NIU Niutek 3G 3.5 N209,Android 4.0,2012
LG,LG KP215,Feature phone,2008
vivo,vivo Y15S (2015),Android 5.1,2015
alcatel,alcatel OT 300,Feature phone,2000
Samsung,Samsung Impact sf,Feature phone,2008
alcatel,alcatel One Touch Scribe Easy,Android 4.1.2,2013
Motorola,Motorola cd920,Feature phone,1998
Samsung,Samsung T729 Blast,Feature phone,2007
Yezz,Yezz Andy A6M 1GB,Android 4.4.2,2013
BLU,BLU Dash 4.5,Android 4.2,2013
Asus,Asus Memo Pad 10,Android 4.2,2013
HTC,HTC Desire 625,"Android 5.1, Sense UI",2016
Vodafone,Vodafone 511,Feature phone,2007
HTC,HTC U11 Eyes,"Android 8.0, Sense UI",2018
Pantech,Pantech G900,Feature phone,2004
Panasonic,Panasonic T11,Android 4.1,2013
Philips,Philips W5510,Android 4.1,2013
Motorola,Motorola Moto X Play,"Android 5.1.1, up to 7.1.1",2015
Tecno,Tecno Spark Go 2020,"Android 10, HIOS 6.2",2020
Samsung,Samsung Galaxy S5 Duos,"Android 4.4.2, TouchWiz UI",2014
Samsung,Samsung Galaxy M Pro B7800,Android 2.3,2011
Bird,Bird D660,Feature phone,0
LG,LG LG-200,Feature phone,0
BLU,BLU Studio 7.0,Android 4.4.2,2014
Xiaomi,Xiaomi Redmi Note Prime,"Android 4.4.4, MIUI 9.2",2015
Honor,Honor 20,"Android 9.0, up to Android 10, Magic UI 4.0",2019
LG,LG KP152,Feature phone,2008
Asus,Asus Transformer Prime TF700T,Android 4.0,2012
HTC,HTC Butterfly 2,Android 4.4.2,2014
Microsoft,Microsoft Lumia 532,Microsoft Windows Phone 8.1,2015
Coolpad,Coolpad Max,Android 5.1,2016
Karbonn,Karbonn A21,Android 4.0,2012
Huawei,Huawei P20 Pro,"Android 8.1, planned upgrade to 10, EMUI 9.1",2018
T-Mobile,T-Mobile G2 Touch,"Android 1.5, Sense UI",2009
Sony,Sony Ericsson K660,Feature phone,2008
alcatel,alcatel ELLE No 3,Feature phone,2007
LG,LG U8210,Feature phone,2005
Honor,Honor 20S,"Android 9.0, Magic 2.1",2019
LG,LG A270,Feature phone,2011
alcatel,alcatel OT-810,Feature phone,2011
Samsung,Samsung Galaxy J3 (2017),"Android 7.0, 8.0, up to Android 9.0",2017
Allview,Allview P6 Energy Lite,Android 6.0,2016
Oppo,Oppo Reno5 Pro 5G,"Android 11, ColorOS 11.1",2021
Philips,Philips 768,Feature phone,2005
Panasonic,Panasonic X200,Feature phone,2004
Tecno,Tecno Spark Go,"Android 9.0, HIOS 5.0",2019
Sony,Sony CM-DX 1000,Feature phone,1997
XOLO,XOLO Opus HD,Android 4.4.2,2014
alcatel,alcatel OT 500,Feature phone,2000
Infinix,Infinix Smart,Android 7.0,2017
HTC,HTC Desire 626,Android 4.4.4,2015
LG,LG E900 Optimus 7,"Microsoft Windows Phone 7, up to 7.8",2010
Oppo,Oppo Joy Plus,"Android 4.4, ColorOS 2",2015
LG,LG X venture,"Android 7.0, LG UX 5",2017
LG,LG Spectrum II 4G VS930,Android 4.0,2012
BLU,BLU Deejay II,Feature phone,2011
Sony,Sony Ericsson T68i,Feature phone,2002
Nokia,Nokia N96,"Symbian OS 9.3, S60 rel. 3.2",2008
NIU,NIU Andy 5T,Android 4.4.2,2014
HTC,HTC Desire 820,"Android 4.4.2, up to 6.1, Sense UI 7",2014
LG,LG KF245,Feature phone,2008
LG,LG G Stylo,"Android 5.0, up to 6.0",2015
LG,LG HB620T,Feature phone,2008
Eten,Eten P300B,Microsoft Windows Mobile 2003 PocketPC,2004
Micromax,Micromax Canvas Unite 4 Pro,Android 5.1,2016
Nokia,Nokia 8910i,Feature phone,2003
Samsung,Samsung C400,Feature phone,2006
Allview,Allview 2 Speed Quad,Android 4.2.2,2013
Sony,Sony Ericsson T105,Feature phone,2003
Philips,Philips W186,Feature phone,2009
Panasonic,Panasonic P55,Android 4.4.2,2014
Motorola,Motorola Moto E4 Plus (USA),Android 7.1,2017
HP,HP Pre 3 CDMA,HP webOS 2.2,0
Apple,Apple iPad 9.7 (2017),"iOS 10.3, up to iPadOS 14.6",2017
Lava,Lava V2 3GB,Android 6.0,2016
Oppo,Oppo Reno5 5G,"Android 11, ColorOS 11.1",2021
NEC,NEC N620,Feature phone,2004
VK,VK Mobile VK300,Feature phone,2005
i-mate,i-mate Smartphone,Microsoft Windows Mobile Smartphone,2004
Karbonn,Karbonn A10,Android 4.1,2013
OnePlus,OnePlus 5,"Android 7.1.1, up to 10, OxygenOS 10.0.0",2017
Meizu,Meizu X8,"Android 8.0, Flyme UI",2018
BQ,BQ Aquaris X,Android 7.1.1,2017
Sagem,Sagem MY V-56,Feature phone,2004
Infinix,Infinix Note 5,"Android 8.1, Android One",2018
NEC,NEC N344i,Feature phone,0
Energizer,Energizer Energy E20,Feature phone,2017
Meizu,Meizu V8,"Android 8.0, Flyme UI",2018
Gionee,Gionee Pioneer P4S,Android 4.4,2015
ZTE,ZTE V9+,Android 2.2,2011
Sony,Sony Ericsson P910,"Symbian 7.0, UIQ v2.1 UI",2004
Samsung,Samsung Galaxy E7,"Android 4.4.4, up to 5.1.1",2015
Lava,Lava A76+,Android 6.0,2016
Samsung,Samsung S3650W Corby,Feature phone,2010
Energizer,Energizer Ultimate U710S,Android 9.0,0
Samsung,Samsung I100 Gem,Android 2.1,2011
i-mobile,i-mobile 8500,Android OS,2010
Prestigio,Prestigio MultiPad 7.0 Ultra,Android 4.0,2013
Nokia,Nokia 1.3,"Android 10, up to Android 11, Android One",2020
Sagem,Sagem my800X,Feature phone,2006
BLU,BLU G6,Android 9.0,2019
Wiko,Wiko Selfy 4G,Android 5.1,2015
Nokia,Nokia 112,Feature phone,2012
vivo,vivo Z6 5G,"Android 10, Funtouch 10.0",2020
BLU,BLU Dash X Plus,Android 5.0,2015
Asus,Asus Zenfone 2E,"Android 5.0, ZenUI",2015
Apple,Apple iPhone 12 Pro Max,"iOS 14.1, up to iOS 14.7",2020
alcatel,alcatel OT 526,Feature phone,2003
Ulefone,Ulefone Armor Mini 2,Feature phone,2021
Ulefone,Ulefone Note 8,Android 10,2020
Karbonn,Karbonn A5,Android 2.3,2013
Gigabyte,Gigabyte GSmart Essence,Android 4.4,2015
Huawei,Huawei Ascend W3,Microsoft Windows Phone 8,0
QMobile,QMobile Noir X700,Android 4.2.2,2015
Bird,Bird S296,Feature phone,2007
HTC,HTC One Max,"Android 4.3, up to 5.0, Sense UI 5.5",2013
Micromax,Micromax Q3,Feature phone,2009
Asus,Asus Transformer Pad Infinity 700 3G,Android 4.0,2012
alcatel,alcatel OT-818,Feature phone,2011
Maxon,Maxon MX-E10,Feature phone,2003
Honor,Honor View30 Pro,"Android 10, Magic UI 3",2020
QMobile,QMobile Noir A750,Android 4.2,2015
ZTE,ZTE Blade Max View,"Android 7.1.1, up to Android 8.1",2019
verykool,verykool i270,Feature phone,2011
Samsung,Samsung E830,Feature phone,2007
Eten,Eten glofiish DX900,Microsoft Windows Mobile 6.1 Professional,2008
Sony,Sony Ericsson T230,Feature phone,2003
Motorola,Motorola Accompli 388,Feature phone,2002
Pantech,Pantech Q80,Feature phone,2003
Nokia,Nokia 7250,Feature phone,2003
Samsung,Samsung A500,Feature phone,2002
Bird,Bird MP300,Feature phone,0
Samsung,Samsung M580 Replenish,"Android 2.2, up to 2.3",2011
Allview,Allview P7 Pro,Android 6.0,2016
Acer,Acer Liquid Z200,Android 4.4.2,2014
Energizer,Energizer Energy 100 (2017),Feature phone,2017
Samsung,Samsung Galaxy Nexus i515,"Android 4.0, up to 4.2.2",2011
alcatel,alcatel Pop C9,Android 4.2,2014
Samsung,Samsung S3770,Feature phone,2011
Sony,Sony Ericsson T105,Feature phone,2003
HTC,HTC Rezound,"Android 2.3.4, up to 4.0, Sense UI 3",2011
alcatel,alcatel Pixi 3 (5),Android 4.4.2 / Android 5.0 - 4G model,2015
Samsung,Samsung E730,Feature phone,2005
Asus,Asus Fonepad,Android 4.1,2013
Honor,Honor Play 4T,"Android 10, Magic UI 3",2020
Micromax,Micromax X310,Feature phone,2010
LG,LG KH5200 Andro-1,Android OS,2010
Apple,Apple iPhone 12,"iOS 14.1, up to iOS 14.7",2020
ZTE,ZTE Light Tab 300,Android 4.0,2012
Honor,Honor Play 4T Pro,"Android 10, Magic UI 2",2020
LG,LG Magna,"Android 5.0.1, up to 6.0.1",2015
ZTE,ZTE nubia Z11,"Android 6.1, nubia UI 4",2016
Samsung,Samsung T669 Gravity T,Feature phone,2010
Yezz,Yezz Andy 4E4,Android 6.0,2016
Karbonn,Karbonn Titanium S5 Plus,Android 4.2.2,2013
LG,LG U8150,Feature phone,2003
Samsung,Samsung ZV30,Feature phone,2005
Lenovo,Lenovo Tab M10 HD Gen 2,Android 10,2020
Panasonic,Panasonic Eluga A,Android 4.3,2014
LG,LG GB109,Feature phone,2009
Allview,Allview P9 Energy,Android 6.0,2016
Micromax,Micromax A114R Canvas Beat,Android 4.2.2,2014
BLU,BLU G50 Plus,Android 10,2020
ZTE,ZTE Blade A460,Android 5.1,2015
Samsung,Samsung S3600,Feature phone,2009
Sony,Sony Ericsson K530,Feature phone,2007
Celkon,Celkon C769,Feature phone,2012
Nokia,Nokia 2690,Feature phone,2010
XOLO,XOLO Era 2,Android 6.0,2016
Meizu,Meizu V8 Pro,"Android 8.0, Flyme UI",2018
BLU,BLU Studio G Mini,Android 6.0,2017
Lenovo,Lenovo Z5s,"Android 9.0, ZUI 10",2018
LG,LG L5100,Feature phone,2004
LG,LG Optimus Vu F100S,"Android 2.3.5, up to 4.1.2",2012
BLU,BLU Deejay II,Feature phone,2011
Samsung,Samsung E720,Feature phone,2005
Samsung,Samsung I9100 Galaxy S II,"Android 2.3.4, up to 4.1, TouchWiz UI 4",2011
T-Mobile,T-Mobile REVVL 4+,Android 10,2020
Samsung,Samsung E1260B,Feature phone,2012
Samsung,Samsung F300,Feature phone,2006
Motorola,Motorola V535,Feature phone,2004
Philips,Philips Ozeo,Feature phone,2000
Huawei,Huawei Mate 20 X,"Android 9.0, EMUI 9.1",2018
Lava,Lava X50 Plus,"Android 5.1, up to 6.0",2016
Kyocera,Kyocera Milano C5120,Android 2.3,2011
Nokia,Nokia 2.1,"Android 8.1 Oreo, up to 10.0, Android One",2018
Sagem,Sagem RC 730,Feature phone,1997
ZTE,ZTE Blade Z Max,Android 7.1.1,2017
Icemobile,Icemobile Apollo,Android 2.3.6,2012
O2,O2 XDA Graphite,Microsoft Windows Mobile 5.0 Smartphone,2006
alcatel,alcatel Pixi 8,Android 4.4.2,2014
Micromax,Micromax X2i plus,Feature phone,2010
Huawei,Huawei Activa 4G,Android 2.3.6,2012
Oppo,Oppo Find X2 Lite,"Android 10, ColorOS 7",2020
Huawei,Huawei P30,"Android 9.0, up to Android 10, EMUI 10",2019
Samsung,Samsung M130K Galaxy K,Android 2.2,2010
ZTE,ZTE nubia Z11 mini S,"Android 6, nubia UI 4",2016
Samsung,Samsung Z110,Feature phone,2004
Lenovo,Lenovo Vibe S1,"Android 5.0, up to 6.0",2015
QMobile,QMobile Noir A75,Android 4.2,2014
ZTE,ZTE Axon 20 5G Extreme,"Android 10, MiFavor 10.5",2020
Chea,Chea 198,Feature phone,2003
Emporia,Emporia Talk Comfort,Feature phone,2011
BenQ,BenQ M580,Feature phone,2006
Orange,Orange Monte Carlo,Android 2.3,2011
ZTE,ZTE Kis 3,Android 4.4.2,2014
Motorola,Motorola RAZR V XT885,Android 4.0.4,2012
Oppo,Oppo A92s,"Android 10, ColorOS 7.1",2020
Samsung,Samsung Galaxy Tab 3 7.0 WiFi,"Android 4.1.2, TouchWiz UX UI",2013
Samsung,Samsung Galaxy S II TV,Android 4.2,2013
Asus,Asus Z801,Feature phone,0
Samsung,Samsung Galaxy Core LTE,Android 4.2.2,2014
BenQ,BenQ T51,Feature phone,0
Samsung,Samsung E1225 Dual Sim Shift,Feature phone,2010
vivo,vivo Y91,"Android 8.1, Funtouch 4.5",2018
Huawei,Huawei U8510 IDEOS X3,Android 2.3,2011
Asus,Asus E600,Microsoft Windows Phone 7,0
Sony,Sony Ericsson K800,Feature phone,2006
Maxwest,Maxwest Nitro 55M,Android 6.0,2017
Sony,Sony Xperia 10,Android 9.0,2019
Samsung,Samsung E610,Feature phone,2004
Bosch,Bosch Com 908,Feature phone,1998
Sony,Sony Ericsson Xperia X2,Microsoft Windows Mobile 6.5/6.5.&hellip;,2010
NEC,NEC N710,Feature phone,2004
Sony,Sony Xperia J,"Android 4.0.4, up to 4.1.2",2012
Samsung,Samsung T559 Comeback,Feature phone,2009
Motorola,Motorola XOOM 2 Media Edition MZ607,"Android 3.2, up to 4.0.4",2011
Huawei,Huawei P30 Pro,"Android 9.0, up to Android 10, EMUI 10",2019
BenQ-Siemens,BenQ-Siemens E61,Feature phone,2006
BLU,BLU C5,Android 8.1 Oreo,2018
NEC,NEC DB4100,Feature phone,2000
Samsung,Samsung S3100,Feature phone,2009
ZTE,ZTE Director,Android 4.0,2013
Celkon,Celkon C303,Feature phone,2011
AT&T,AT&T SMT5700,Microsoft Windows Mobile 5.0 PocketPC,2007
LG,LG KG270,Feature phone,2007
alcatel,alcatel Pop 4S,Android 6.0,2016
Motorola,Motorola MOTOKEY Mini EX109,Feature phone,2011
Nokia,Nokia N70,"Symbian OS 8.1a , Series 60 UI",2005
Samsung,Samsung Galaxy Tab S6 5G,"Android 10, One UI 2",2020
Qtek,Qtek A9100,Microsoft Windows Mobile 5.0 PocketPC,2006
Sagem,Sagem my419x,Feature phone,2008
BLU,BLU Dash 4.0,Android 4.2,2013
HTC,HTC Zeta,"Android 4.0, Sense UI",0
Prestigio,Prestigio MultiPad 7.0 Pro Duo,Android 4.0,2013
Allview,Allview Viva 803G,Android 9.0 Pie,2020
Acer,Acer Liquid Z630S,Android 5.1,2015
Samsung,Samsung Galaxy J7 Duo,"Android 8.0, up to Android 9.0",2018
vivo,vivo X20,"Android 7.1.1, up to 8.0, Funtouch 3.2",2017
Asus,Asus Google Nexus 7 Cellular,"Android 4.1, up to 5.1.1",2012
Samsung,Samsung Mpower TV S239,Feature phone,2010
Dell,Dell XCD28,Android 2.1,2010
LG,LG G5200,Feature phone,2002
Samsung,Samsung T479 Gravity 3,Feature phone,2010
alcatel,alcatel Net,Feature phone,2010
LG,LG Q31,Android 10,2020
Huawei,Huawei nova 7 Pro 5G,"Android 10, EMUI 10, no Google Play Services",2020
BlackBerry,BlackBerry Q10,"BlackBerry OS 10, up to 10.3.1",2013
Panasonic,Panasonic Eluga Ray 550,Android 7.0,2018
O2,O2 XDA Atom Exec,Microsoft Windows Mobile 5.0 PocketPC,2006
Micromax,Micromax Canvas Hue,"Android 4.4.2, up to 5.0.1",2015
alcatel,alcatel OT-C701,Feature phone,2007
Celkon,Celkon Q455L,Android 5.0,2015
Pantech,Pantech PG-1000s,Feature phone,2005
Samsung,Samsung Rex 80 S5222R,Feature phone,2013
Samsung,Samsung Star Deluxe Duos S5292,Feature phone,2013
Pantech,Pantech Renue,Feature phone,2012
Motorola,Motorola Luge,Android 4.4.2,2014
Micromax,Micromax Q391 Canvas Doodle 4,Android 5.0,2015
Nokia,Nokia 8 V 5G UW,Android 10,2020
LG,LG Optimus L7 P700,Android 4.0.3,2012
Maxwest,Maxwest MX-110,Feature phone,2014
Amazon,Amazon Fire Phone,"Amazon Fire 3.5, up to 3.6.5",2014
Emporia,Emporia Care Plus,Feature phone,2013
Samsung,Samsung E200 ECO,Feature phone,2008
Wiko,Wiko Pulp Fab,Android 5.1,2015
Nokia,Nokia C2-00,Feature phone,2011
Allview,Allview X4 Soul Infinity L,Android 7.0,2017
LG,LG Wine Smart,Android 5.1.1,2015
Tecno,Tecno Camon 16 S,"Android 10, HIOS 6.2",2020
Samsung,Samsung Galaxy Fame Lite S6790,Android 4.1.2,2013
Samsung,Samsung Galaxy A42 5G,"Android 10, up to Android 11, One UI 3.1",2020
BLU,BLU C4,Android 8.1 Oreo,2018
OnePlus,OnePlus 5T,"Android 7.1.1, up to 10, OxygenOS 10.0.0",2017
HTC,HTC Ozone,Microsoft Windows Mobile 6.1 Standard,2009
Coolpad,Coolpad Legacy 5G,Android 10,0
HTC,HTC Desire 12s,Android 8.1,2018
HTC,HTC One M9,"Android 5.0, up to 7.0, Sense UI 7",2015
HTC,HTC Windows Phone 8S,"Microsoft Windows Phone 8, up to WP8 GDR3",2012
i-mate,i-mate Ultimate 5150,Microsoft Windows Mobile 6.0 Professional,0
LG,LG GB170,Feature phone,2009
QMobile,QMobile Noir A750,Android 4.2,2015
Acer,Acer Liquid M320,Microsoft Windows 10,2015
Vodafone,Vodafone Smart 4 max,Android 4.4.2,2015
Lenovo,Lenovo S580,Android 4.3,2014
Karbonn,Karbonn Titanium Wind W4,Microsoft Windows Phone 8.1,2014
LG,LG C299,Feature phone,2013
TCL,TCL Tab 10s,Android 10,2021
alcatel,alcatel OT-109,Feature phone,2011
NEC,NEC N610,Feature phone,2004
Asus,Asus Zenfone 6 A601CG (2014),"Android 4.3, up to 5.0.2",2014
Allview,Allview P5 AllDro,Android 4.0.4,2012
Huawei,Huawei MediaPad M3 Lite 8,"Android 7.0, EMUI 5.1",2017
Samsung,Samsung I9300 Galaxy S III,"Android 4.0.4, 4.3, TouchWiz UI",2012
BLU,BLU Grand Mini,Android 6.0,2017
Innostream,Innostream INNO 30,Feature phone,2004
Siemens,Siemens A50,Feature phone,2002
Samsung,Samsung E1232B,Feature phone,2011
HTC,HTC One E9s dual sim,"Android 5, Sense UI 7",2015
O2,O2 XDA Neo,Microsoft Windows Mobile 5.0 PocketPC,2006
Samsung,Samsung I5700 Galaxy Spica,Android 1.5/ 2.1,2009
Gigabyte,Gigabyte g-X5,Feature phone,2005
QMobile,QMobile Noir A75,Android 4.2,2014
HTC,HTC Desire 825,Android 6.0,2016
Samsung,Samsung A220 F Nori,Feature phone,2010
Samsung,Samsung Galaxy Stellar 4G I200,Android 4.0.4,2012
Nokia,Nokia 6288,Feature phone,2006
Apple,Apple iPhone 7,"iOS 10.0.1, up to iOS 14.7",2016
Asus,Asus Transformer Pad Infinity 700 LTE,"Android 4.0, up to 4.2.1",2012
Sony,Sony Xperia XZ Premium,"Android 7.1, up to Android 9.0",2017
Vodafone,Vodafone 350 Messaging,Feature phone,2010
VK,VK Mobile VK560,Feature phone,2004
Meizu,Meizu M5,"Android 6.0, Flyme 6.3",2016
alcatel,alcatel Go Flip V,KaiOS 2.5,2019
Bird,Bird S296+,Feature phone,2007
ZTE,ZTE V889M,Android 4.0,2012
XOLO,XOLO A550S IPS,Android 4.2.2,2014
Ericsson,Ericsson GF 337,Feature phone,1995
Siemens,Siemens A57,Feature phone,2004
BenQ,BenQ A500,Feature phone,2004
Sony,Sony Ericsson W960,"Symbian 9.1, UIQ 3.0",2007
BLU,BLU Deejay Touch,Feature phone,2011
Yezz,Yezz Epic T,Android 7.0,2018
ZTE,ZTE nubia Z7,"Android 4.4.2, nubia UI 2",2014
Motorola,Motorola C650,Feature phone,2004
Samsung,Samsung Galaxy S20 FE 5G,"Android 10, up to Android 11, One UI 3.1",2020
LG,LG KU2100,Microsoft Windows Mobile 6.5 Professional,2010
Philips,Philips 768,Feature phone,2005
BLU,BLU Life One X,Android 4.2.1,2014
Apple,Apple Watch Edition Series 3,"watchOS 4.0, up to 7.6",2017
Realme,Realme 7i (Global),"Android 10, Realme UI",2020
Plum,Plum Flix,Android 2.3.5,2012
Celkon,Celkon A90,Android 2.3.5,2012
HTC,HTC One (M8) dual sim,"Android 4.4.2, up to 4.4.4, Sense UI 6",2014
QMobile,QMobile Noir A8i,Android 4.4,2014
Micromax,Micromax X660,Feature phone,2012
Micromax,Micromax X276,Feature phone,2012
Allview,Allview X3 Soul Plus,Android 6.0,2016
LG,LG C2600,Feature phone,2006
HTC,HTC Desire VC,"Android 4.0, Sense UI 4",2012
LG,LG KU970 Shine,Feature phone,2007
Siemens,Siemens CXT65,Feature phone,2004
Samsung,Samsung Google Nexus S,"Android 2.3, 4.1.2, not up to 4.2",2010
alcatel,alcatel 1x,Android 8.1 - 5059D only,2018
alcatel,alcatel Miss Sixty,Feature phone,2010
Samsung,Samsung Z150,Feature phone,2006
BenQ,BenQ C36,Feature phone,2008
BLU,BLU Vivo XL5,Android 9.0,2019
alcatel,alcatel OT-216,Feature phone,2010
Asus,Asus Fonepad,Android 4.1,2013
Samsung,Samsung V100,Feature phone,2002
Acer,Acer beTouch E110,Android 1.5,2010
Asus,Asus PadFone mini (Intel),"Android 4.3, up to 4.4.2",2014
Bird,Bird S296+,Feature phone,2007
Mitsubishi,Mitsubishi Trium Neptune,Feature phone,2000
Tecno,Tecno Spark 3,"Android 9.0, HIOS 5.0",2019
Allview,Allview X4 Soul Infinity Z,Android 7.0,2017
HTC,HTC Desire 820s dual sim,"Android 4.4.4, Sense UI 6",2015
Samsung,Samsung E2350B,Feature phone,2012
Lenovo,Lenovo Z6 Pro 5G,"Android 9.0, ZUI 11",2019
Spice,Spice Mi-355 Stellar Craze,"Android 2.3, up to 4.0",2012
XOLO,XOLO Q1011,Android 4.4.2,2014
Tecno,Tecno Pop 1,Android 7.0,2018
alcatel,alcatel OT-690,Feature phone,2011
Sagem,Sagem my901C,Feature phone,2008
Samsung,Samsung Galaxy A90 5G,"Android 9.0, up to Android 11, One UI 3.1",2019
Nokia,Nokia 5000,Feature phone,2008
Micromax,Micromax X222,Feature phone,2011
Celkon,Celkon C509,Feature phone,2010
HTC,HTC Status,Android 2.3,2011
Samsung,Samsung B110,Feature phone,2008
Plum,Plum Stubby,Feature phone,2011
Apple,Apple iPad 9.7 (2017),"iOS 10.3, up to iPadOS 14.6",2017
Nokia,Nokia 700,"Symbian Belle, up to Belle FP1",2011
Huawei,Huawei Ascend Y201 Pro,Android 4.0,2012
HTC,HTC Desire VC,"Android 4.0, Sense UI 4",2012
Samsung,Samsung Galaxy Tab A 8.0 (2015),Android 5.0,2015
Celkon,Celkon C75,Feature phone,2012
Gionee,Gionee Ctrl V1,Android 4.0,2013
Samsung,Samsung I9105 Galaxy S II Plus,"Android 4.1.2, up to 4.2.2, TouchWiz UI 5",2013
Telit,Telit t110,Feature phone,2005
Tecno,Tecno Camon 16,"Android 10, HIOS 6.0",2020
Samsung,Samsung Galaxy Note N7000,"Android 2.3.5, up to 4.1.2, TouchWiz UI 4",2011
ZTE,ZTE Axon,Android 5.1.1,2015
Sony,Sony Ericsson Jalou D&G edition,Feature phone,2009
Celkon,Celkon Q455L,Android 5.0,2015
Nokia,Nokia 6310i,Feature phone,2002
Haier,Haier N60,Linux,2005
HTC,HTC P3600,Microsoft Windows Mobile 5.0 PocketPC,2006
Orange,Orange Gova,Android 4.3,2014
Realme,Realme C3 (3 cameras),"Android 10, Realme UI",2020
Panasonic,Panasonic G51,Feature phone,2003
Panasonic,Panasonic X500,Feature phone,2004
Micromax,Micromax Canvas Tab P690,"Android 4.4.4, up to 5.0.2",2015
Nokia,Nokia 7260,Feature phone,2004
Panasonic,Panasonic Eluga U2,Android 5.0,2015
i-mobile,i-mobile TV 533,Feature phone,2009
Haier,Haier I6,Android 7.1,2018
Huawei,Huawei Mate 8,"Android 6.0, up to 7.0, EMUI 4",2015
Acer,Acer Liquid Z530S,Android 5.1,2015
Panasonic,Panasonic Eluga Ray 700,Android 7.0,2017
Siemens,Siemens SXG75,Feature phone,2005
alcatel,alcatel Orange Klif,Firefox 2.0,2015
Sagem,Sagem MY S-7,Microsoft Smartphone 2003 SE,2004
vivo,vivo V15 Pro,"Android 9.0, Funtouch 9",2019
Ericsson,Ericsson T36,Feature phone,0
Samsung,Samsung U960 Rogue,Feature phone,2009
alcatel,alcatel OT 311,Feature phone,2001
vivo,vivo Y20 2021,"Android 10, Funtouch 11",2021
vivo,"vivo Y51 (2020, December)","Android 11, Funtouch 11",2020
Motorola,Motorola Moto X Style,"Android 5.1.1, 6.0, up to 7.0",2015
Sony,Sony Ericsson Live with Walkman,"Android 2.3, up to 4.0",2011
Samsung,Samsung E3210,Feature phone,2011
BLU,BLU Dash X2,Android 6.0,2016
HTC,HTC One S C2,"Android 4.0, up to 4.1, Sense UI",2012
Siemens,Siemens A65,Feature phone,2004
Apple,Apple iPhone 6s,"iOS 9, up to iOS 14.7",2015
HTC,HTC Desire 526,"Android 5.1, Sense 7 UI",2015
LG,LG G Pad 8.0,"Android 4.4.2, up to 5.0",2014
Celkon,Celkon A10,Android 4.2.0,2013
Chea,Chea 208,Feature phone,0
Samsung,Samsung Galaxy J2 Pro (2016),Android 6.0.1,2016
Motorola,Motorola V66i,Feature phone,2001
Lenovo,Lenovo Tab M8 (HD),Android 9.0,2019
LG,LG KS660,Feature phone,2009
Energizer,Energizer Ultimate U630S Pop,Android 9.0,0
Allview,Allview C6 Quad 4G,Android 4.4.2,2014
HTC,HTC One XC,"Android 4.0, Sense UI",2012
Nokia,Nokia 6230,Feature phone,2003
Allview,Allview Wi8G,Microsoft Windows 10,2014
BlackBerry,BlackBerry Curve 8310,BlackBerry OS,2007
alcatel,alcatel OT-585,Feature phone,2011
Nokia,Nokia 125,Feature phone,2020
Celkon,Celkon C350,Feature phone,2012
Ericsson,Ericsson R310s,Feature phone,2000
ZTE,ZTE R220,Feature phone,2009
Archos,Archos 50b Platinum,Android 4.4.2,2014
Honor,Honor 30i,"Android 10, Magic UI 2.1",2020
HTC,HTC Touch Diamond CDMA,Microsoft Windows Mobile 6.1 Professional,2008
Celkon,Celkon CT-910+,Android 4.1,2013
i-mate,i-mate JAMA 201,Microsoft Windows Mobile 6.0 Professional,2008
BLU,BLU C6L,Android 8.1 Oreo,2019
BLU,BLU Win JR,Microsoft Windows Phone 8.1,2014
alcatel,alcatel OT-E227,Feature phone,2007
Karbonn,Karbonn K309 Boombastic,Feature phone,2012
BLU,BLU Vida1,Feature phone,2010
Nokia,Nokia 3250,"Symbian 9.1, Series 60 rel. 3.0",2005
Archos,Archos 50b Platinum,Android 4.4.2,2014
Yezz,Yezz Classic C30,Feature phone,2013
Philips,Philips E210,Feature phone,2009
Samsung,Samsung Galaxy Tab Active 2,Android 7.1.1,2017
Infinix,Infinix S5 Pro,Android 10,2020
LG,LG KF757 Secret,Feature phone,2008
BlackBerry,BlackBerry A10,BlackBerry OS 10.2,0
Celkon,Celkon Millennia Everest,Android 5.1,2015
Amoi,Amoi A865,Feature phone,2006
alcatel,alcatel OT-S218,Feature phone,2008
LG,LG GD880 Mini,Feature phone,2010
vivo,vivo iQOO Pro 5G,"Android 9.0, Funtouch 9.1",2019
Nokia,Nokia 5230,"Symbian 9.4, Series 60 rel. 5",2009
Oppo,Oppo A77 (Mediatek),"Android 6, ColorOS 3",2017
ZTE,ZTE Warp 4G,Android 4.1,2013
