marca,modelo,sistema,lanzamiento
Philips,Philips 162,Feature phone,2005
Pantech,Pantech G700,Feature phone,2004
NEC,NEC N830,Feature phone,2004
Acer,Acer Iconia Tab A110,Android 4.1,2012
Micromax,Micromax X2i,Feature phone,2010
Samsung,Samsung Guru Dual 26,Feature phone,0
Nokia,Nokia 3.1,"Android 8.0, up to Android 10, Android One",2018
HTC,HTC Desire 526G+ dual sim ,Android 4.4.2,2015
Huawei,Huawei G6153,Feature phone,2013
Philips,Philips Xenium 9@9s,Feature phone,2006
Motorola,Motorola V.box(V100),Feature phone,2000
Samsung,Samsung Galaxy A20s,"Android 9.0, up to Android 11, One UI 3.1",2019
XOLO,XOLO Play Tab 7.0,Android 4.1,2013
Eten,Eten glofiish X500,Microsoft Windows Mobile 5.0 PocketPC,2006
Nokia,Nokia 109,Feature phone,2012
Philips,Philips 192,Feature phone,2008
Micromax,Micromax Canvas Spark 4G Q4201,Android 6.0,2016
Prestigio,Prestigio MultiPhone 7600 Duo,Android 4.2,2014
Lenovo,Lenovo S750,Android 4.2.1,2014
HTC,HTC One (M8) CDMA,"Android 4.4.2, up to 6, Sense UI 6",2014
Maxwest,Maxwest Astro JR,Android 4.2.2,2014
Motorola,Motorola Droid Maxx 2,"Android 5.1.1, up to 7.0",2015
Pantech,Pantech Vega Racer 2 IM-A830L,Android 4.0,2012
Benefon,Benefon Twin+,Feature phone,2000
Huawei,Huawei Y3 (2017),"Android 6.0, EMUI 4.1 Mini",2017
Plum,Plum Gator 5,Android 8.1,2018
Celkon,Celkon A42,Android 4.2.2,2014
LG,LG P520,Feature phone,2010
Allview,Allview P3 AllDro,Android 2.3.5,2012
HTC,HTC Desire HD,"Android 2.2, 2.3, not up to 4.0, Sense UI",2010
HTC,HTC Pure,Microsoft Windows Mobile 6.5 Professional,2009
Samsung,Samsung Galaxy S4 zoom,"Android 4.2.2, up to 4.4.2",2013
Celkon,Celkon C355,Feature phone,2013
Motorola,Motorola WX294,Feature phone,2011
Motorola,Motorola Moto G 5G Plus,Android 10,2020
Asus,Asus Zenfone 4 Max Plus ZC554KL,"Android 7, ZenUI 4",2017
Samsung,Samsung X200,Feature phone,2005
LG,LG KG240,Feature phone,2006
Huawei,Huawei MediaPad M5 10 (Pro),"Android 8.0, EMUI 8",2018
Nokia,Nokia E61i,"Symbian OS 9.1, Series 60 v3.0 UI",2007
BLU,BLU Studio X,"Android 4.4.2, up to 5.0",2015
Mitac,Mitac MIO Explora K70,Windows Mobile 6.1 Professional,2009
Micromax,Micromax Canvas 5 Lite Q462,Android 5.1,2016
Samsung,Samsung Galaxy J3 Emerge,"Android 6.0.1
Android 7.0 - Amp Prime 2",2017
Energizer,Energizer Energy 400 LTE,Android 6.0,2017
Nokia,Nokia C1-01,Feature phone,2010
Vodafone,Vodafone 546,Feature phone,2010
ZTE,ZTE nubia X6,Android 4.3,2014
Samsung,Samsung C400,Feature phone,2006
Bird,Bird S758,Feature phone,0
Samsung,Samsung I8700 Omnia 7,Microsoft Windows Phone 7,2010
Samsung,Samsung B3410,Feature phone,2009
Samsung,Samsung Galaxy Ace 2 I8160,"Android 2.3, up to 4.1.2, TouchWiz UI 4",2012
Sony,Sony Ericsson Hazel,Feature phone,2010
Maxwest,Maxwest Tab Phone 72DC,Android 4.1.2,2013
Samsung,Samsung N620,Feature phone,2002
LG,LG W10 Alpha,Android 9.0,2020
Nokia,Nokia Lumia 925,"Microsoft Windows Phone 8, up to 8.1",2013
Samsung,Samsung Vodafone 360 H1,LiMo OS,2009
Asus,Asus Memo Pad 10,Android 4.2,2013
Celkon,Celkon C399,Feature phone,2013
ZTE,ZTE Open C,Firefox OS 1.3,2014
Plum,Plum Coach Plus,Android 4.2.2,2014
Yezz,Yezz Max 1,Android 8.1,2018
Samsung,Samsung C3510 Genoa,Feature phone,2010
Pantech,Pantech Vega No 6,"Android 4.1.2, Flux UX UI",2013
Allview,Allview Impera S,Microsoft Windows Phone 8.1,2014
LG,LG G Watch R W110,Android Wear OS 2.1,2015
HTC,HTC First,"Android 4.1, Facebook Home UI",2013
Samsung,Samsung Galaxy S6 Plus,"Android 5.0.2, TouchWiz UI",0
Samsung,Samsung E715,Feature phone,2003
Sagem,Sagem my411C Oxbow,Feature phone,2008
Samsung,Samsung Galaxy Tab 3 V,Android 4.4,2015
Sony,Sony Xperia E4g,Android 4.4.4,2015
Motorola,Motorola DROID BIONIC XT865,"Android 2.2.1, up to 4.1.2",0
Energizer,Energizer Energy E12,Feature phone,2019
Haier,Haier M300,Feature phone,2010
Maxwest,Maxwest Orbit 4600,Android 4.2.2,2013
Micromax,Micromax A089 Bolt,Android 4.2.2,2014
Xiaomi,Xiaomi Redmi 9A,"Android 10, MIUI 12",2020
Siemens,Siemens S45,Feature phone,2001
Posh,Posh Icon HD X551,Android 5.1,2016
alcatel,alcatel OT-903,Android 2.3,2012
Honor,Honor 9S,"Android 10, Magic UI 3.1",2020
Prestigio,Prestigio MultiPad 7.0 Prime +,Android 4.0,2013
ZTE,ZTE PF 100,Android 4.0,0
Prestigio,Prestigio MultiPad 2 Pro Duo 8.0 3G,Android 4.1,2013
VK,VK Mobile VK800,Feature phone,2005
Amoi,Amoi H801,Feature phone,2006
BLU,BLU Energy JR,Android 4.4.2,2016
NIU,NIU Andy 5T,Android 4.4.2,2014
vivo,vivo X21 UD,"Android 8.1, Funtouch 4",2018
Xiaomi,Xiaomi Mi Pad 7.9,"Android 4.4.4, MIUI 7",2014
Archos,Archos 53 Titanium,Android 4.2.2,2013
Samsung,Samsung Serenata,Feature phone,2007
ZTE,ZTE Blade A5 (2019),Android 9.0,2019
ZTE,ZTE nubia X,"Android 8.1, Nubia UI 6",2018
alcatel,alcatel OT 332,Feature phone,2003
Plum,Plum Sync 5.0,Android 4.2.2,2014
Huawei,Huawei T158,Feature phone,2008
Sony,Sony Xperia XA Ultra,"Android 6.0.1, up to 7.0",2016
Samsung,Samsung Galaxy A11,"Android 10, up to Android 11, One UI 3.1",2020
Samsung,Samsung Galaxy M21,"Android 10, up to Android 11, One UI 3.1 Core",2020
vivo,vivo Y93 (Mediatek),"Android 8.1, Funtouch 4.5",2019
Sagem,Sagem my730c,Feature phone,2008
